Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
30/09/2015	2900	2830	2880	2810	2652400	8	10	16082	938	1415
01/10/2015	2830	2830	2830	2830	1443300	2	3020	16072	510	1415
02/10/2015	2830	2830	2830	2830	12522750	6	14	14512	4425	1415
05/09/2015	2830	2820	2880	2800	11330060	13	1216	12790	4022	1410
06/10/2015	2820	2800	2830	2800	8926780	11	914	19542	3188	1400
07/10/2015	2800	2750	2750	2750	1375000	1	1003	7440	500	1375
08/10/2015	2750	2790	2800	2750	197810500	19	5233	3790	70840	1395
09/10/2015	2790	2790	2790	2790	35265600	2	12593	2000	12640	1395
12/10/2015	2790	2790	0	0	0	0	12599	2000	0	1395
13/10/2015	2790	2800	2800	2750	14561000	8	36274	63620	5204	1400
15/10/2015	2800	2810	2820	2800	28678600	5	27685	63620	10220	1405
16/10/2015	2810	2810	2810	2810	3709200	4	20465	65287	1320	1405
19/10/2015	2810	2800	2810	2800	6771770	6	18474	64870	2417	1400
20/10/2015	2800	2810	2810	2810	7643200	5	16279	1930	2720	1405
21/10/2015	2810	2810	2810	2800	7666300	9	44855	20000	2730	1405
22/10/2015	2810	2810	0	0	0	0	44774	20000	0	1405
23/10/2015	2810	2810	0	0	0	0	61154	20000	0	1405
26/10/2015	2810	2830	2890	2820	7517400	3	59162	19840	2660	1415
27/10/2015	2830	2860	2890	2820	52415640	9	26864	10460	18306	1430
28/10/2015	2860	2820	2830	2820	26707650	5	17418	5607	9455	1410
29/10/2015	2820	2830	2830	2830	6792000	2	14908	3607	2400	1415
30/10/2015	2830	2900	2950	2830	107426000	11	10938	3697	37000	1450
02/11/2015	2900	2900	2900	2830	971430	3	11348	8862	335	1450
03/11/2015	2900	2950	2950	2900	34684300	9	22669	6830	11762	1475
04/11/2015	2950	2940	2950	2900	43870550	14	12372	14720	14939	1470
06/11/2015	2940	2910	2950	2900	57335600	18	3050	5040	19710	1455
09/11/2015	2910	2930	2950	2900	73335500	15	1018	13144	24990	1465
10/11/2015	2930	2900	2900	2900	31882600	13	7	9344	10994	1450
11/11/2015	2900	2900	2900	2900	232000	6	0	25617	80	1450
12/11/2015	2900	2900	2900	2900	4532700	4	90	24054	1563	1450
13/11/2015	2900	2900	0	0	0	0	97	24934	0	1450
16/11/2015	2900	2880	2900	2880	3307600	6	8840	25764	1148	1440
17/11/2015	2880	2880	2900	2900	17400	1	8834	30909	6	1440
18/11/2015	2880	2870	2900	2800	22918200	13	6088	14440	7999	1435
19/11/2015	2870	2870	2870	2870	200900	1	6088	19880	70	1435
20/11/2015	2870	2800	2870	2800	6920900	3	3684	18830	2470	1400
23/11/2015	2800	2800	2800	2800	16643200	6	3682	4030	5944	1400
24/11/2015	2800	2800	2800	2800	4205600	3	0	6090	1502	1400
25/11/2015	2800	2800	2800	2800	1008000	1	0	9040	360	1400
26/11/2015	2800	2800	2800	2800	5919200	8	1430	12004	2114	1400
27/11/2015	2800	2790	2790	2790	18525600	6	1430	6284	6640	1395
30/11/2015	2790	2750	2750	2750	1925000	1	1610	4394	700	1375
01/11/2015	2750	2790	2790	2790	4249170	5	790	27635	1523	1395
02/12/2015	2790	2800	2800	2790	7965950	13	1016	25500	2845	1400
03/12/2015	2800	2800	2800	2790	40072400	12	10	18650	14327	1400
04/12/2015	2800	2790	2790	2790	6193800	5	22	47510	2220	1395
07/12/2015	2790	2780	2800	2780	15095810	7	911	46050	5430	1390
08/12/2015	2780	2790	2790	2780	20447400	4	581	31220	7330	1395
10/12/2015	2790	2780	2790	2780	1615190	2	5000	37208	581	1390
11/12/2015	2780	2650	2750	2600	19370000	9	580	57872	7321	1325
14/12/2015	2650	2740	2740	2740	3315400	4	2341	59662	1210	1370
15/12/2015	2740	2510	2680	2500	11737700	8	0	0	4670	1255
16/12/2015	2510	2510	2510	2510	175700	1	10001	81092	70	1255
17/12/2015	2510	2500	2500	2500	18925000	4	6	53810	7570	1250
18/12/2015	2500	2500	2740	2500	9465240	5	17720	23220	3786	1250
21/12/2015	2500	2510	2510	2500	1078300	3	17800	21100	430	1255
22/12/2015	2510	2500	2500	2500	44500000	4	0	29260	17800	1250
23/12/2015	2500	2500	0	0	0	0	0	29380	0	1250
28/12/2015	2500	2500	2500	2500	975000	2	8	7980	390	1250
29/12/2015	2500	2500	2500	2500	100000	1	8	8640	40	1250
30/12/2015	2500	2500	2500	2500	7075000	7	3	6480	2830	1250
31/12/2015	2500	2500	2500	2500	2900000	5	0	8340	1160	1250
05/01/2016	2500	2490	2500	2450	34919160	16	3285	30016	14030	1245
06/01/2016	2490	2450	2490	2450	5497600	6	202549	43666	2240	1225
07/01/2016	2450	2450	2490	2450	3497680	7	201281	43441	1425	1225
08/01/2016	2450	2450	2450	2450	3699500	3	200008	12703	1510	1225
11/01/2016	2450	2450	2450	2300	42413500	27	3961	41813	17330	1225
13/01/2016	2450	2450	2450	2450	710500	2	203966	42443	290	1225
14/01/2016	2450	2450	2450	2450	17150	3	204250	32700	7	1225
15/01/2016	2450	2300	2300	2300	9110300	4	205290	2805	3961	1150
18/01/2016	2300	2350	2450	2300	3004000	4	21490	305	1280	1175
19/01/2016	2350	2350	0	0	0	0	22800	2305	0	1175
20/01/2016	2350	2350	2400	2300	10745800	14	12080	2024	4571	1175
21/01/2016	2350	2340	2360	2300	22023100	16	16140	3177	9412	1170
22/01/2016	2340	2350	2350	2300	16026900	8	10080	295	6820	1175
25/01/2016	2350	2350	2350	2350	13383250	5	11137	7998	5695	1175
26/01/2016	2350	2350	2350	2350	1485200	10	1135	8986	632	1175
27/01/2016	2350	2340	2340	2340	1404000	4	1065	8569	600	1170
28/01/2016	2340	2340	2340	2320	266480	3	1289	17015	114	1170
29/01/2016	2340	2320	2320	2320	13237920	5	0	14515	5706	1160
02/02/2016	2320	2300	2300	2300	138000	1	3120	56174	60	1150
04/02/2016	2270	2200	2250	2200	4447200	5	5	47394	2021	1100
05/02/2016	2200	2150	2250	2150	226250	10	0	24720	105	1075
08/02/2016	2150	2150	2150	2150	4730000	3	0	15993	2200	1075
09/02/2016	2150	2100	2150	2100	26105550	25	0	9250	12427	1050
10/02/2016	2100	2100	2100	2100	3171000	2	900	15060	1510	1050
11/02/2016	2100	2110	2150	2000	25600000	8	0	31700	12150	1055
12/02/2016	2110	2110	2150	2100	48396577000	17	5900	5230	21999840	1055
15/02/2016	2110	2100	2100	2100	4830000	2	5900	8330	2300	1050
16/02/2016	2100	2100	2100	2100	14878500	9	21320	6727	7085	1050
17/02/2016	2100	2080	2100	2000	43654600	10	0	10351	21026	1040
18/02/2016	2080	2100	2100	2100	25607400	8	1701000	7574	12194	1050
19/02/2016	2100	2100	0	0	0	0	1709000	11565	0	1050
22/02/2016	2100	2100	2100	2100	21000000	3	1799000	27374	10000	1050
23/02/2016	2100	2010	2100	2000	22489130	11	1794433	6930	11208	1005
24/02/2016	2010	2000	2100	2000	7840430	7	1792520	21930	3920	1000
25/02/2016	2000	2030	2100	2010	2610600	3	1793090	21650	1286	1015
26/02/2016	2030	2010	2010	2010	2010000	1	1758000	20650	1000	1005
29/02/2016	2010	2000	2010	2000	25349950	11	1752000	14600	12660	1000
01/03/2016	2000	2000	2000	2000	6700000	6	1752002	12760	3350	1000
02/03/2016	2000	2000	0	0	0	0	1752002	13060	0	1000
03/03/2016	2000	2000	2000	2000	12860000	10	2010002	20430	6430	1000
04/03/2016	2000	1920	2000	1900	17213000	6	9890	19561	8947	960
07/03/2016	1920	1900	1900	1900	29539300	13	10020	19569	15547	950
08/03/2016	1900	1900	1900	1900	19247000	7	0	23654	10130	950
09/03/2016	1900	1900	1900	1900	45740600	15	0	11830	24074	950
10/03/2016	1900	1900	1900	1900	969000	2	15000	5420	510	950
11/03/2016	1900	1830	2000	1820	462705200	18	26980	3040	252370	915
14/03/2016	1830	2010	2010	2000	12110400	3	18280	1007	6040	1005
15/03/2016	2010	2000	2000	2000	5310000	4	18300	2	2655	1000
16/03/2016	2000	1950	2000	1900	3750000	6	27515	4267	1920	975
17/03/2016	1950	1910	2000	1910	5711080	6	42735	4005	2990	955
18/03/2016	1910	2000	2000	2000	9000000	2	237865	5	4500	1000
21/03/2016	2000	2000	2000	2000	10500000	8	241685	280005	5250	1000
22/03/2016	2000	2000	2000	1960	594980000	13	26435	303371	297494	1000
23/03/2016	2000	2000	2000	2000	48740000	6	53560	280008	24370	1000
24/03/2016	2000	2000	2000	2000	11044000	8	48370	280007	5522	1000
29/03/2016	2000	2000	2000	2000	14000	3	34994	410970	7	1000
30/03/2016	2000	2000	2000	2000	2840000	3	43574	410970	1420	1000
31/03/2016	2000	2000	2100	2000	2845000	5	41434	410770	1420	1000
01/04/2016	2000	2000	2000	2000	33156000	16	15596	476410	16578	1000
04/04/2016	2000	2100	2100	2100	3849300	9	15213	489016	1833	1050
05/04/2016	2100	2020	2050	2000	17536500	9	1247	483190	8666	1010
06/04/2016	2020	2020	0	0	0	0	18050	6979	0	1010
08/04/2016	2020	2000	2000	2000	66100000	10	5000	482515	33050	1000
11/04/2016	2000	2000	2000	2000	25380000	6	51050	488465	12690	1000
12/04/2016	2000	2050	2050	2000	200963500	6	106660	488465	98140	1025
13/04/2016	2050	2100	2100	2100	525000	1	58130	10890	250	1050
14/04/2016	2100	2100	2100	2100	1638000	2	7470	910	780	1050
19/04/2016	2050	2040	2100	2000	4327000	3	6824	4406	2120	1020
20/04/2016	2040	2050	2050	2050	82000	1	17264	20460	40	1025
21/04/2016	2050	2020	2020	2020	1010000	3	12384	240	500	1010
22/04/2016	2020	2000	2020	2000	54872050	23	27405	0	27434	1000
25/04/2016	2000	2000	2010	2000	18696800	10	48090	17	9327	1000
27/04/2016	2000	2000	2000	2000	46580000	7	4800	62	23290	1000
28/04/2016	2000	2000	0	0	0	0	4900	62	0	1000
29/04/2016	2000	2050	2050	2000	92000	2	9903	0	45	1025
02/05/2016	2050	2030	2100	2000	8004600	8	8912	6148	3952	1015
03/05/2016	2030	2070	2200	2050	1575700	5	7962	5686	762	1035
04/05/2016	2070	2070	2070	2070	2546100	1	43245	33596	1230	1035
05/05/2016	2070	2050	2070	2050	605344700	28	95481	33596	295290	1025
06/05/2016	2050	2050	2050	2050	207050000	5	26294	27910	101000	1025
09/05/2016	2050	2050	2050	2050	5104500	3	168283	0	2490	1025
10/05/2016	2050	2060	2070	2050	78733230	8	27191	35620	38270	1030
11/05/2016	2060	2020	2060	2000	3127060	3	6500	33598	1551	1010
12/05/2016	2020	2010	2050	2000	6486000	6	24740	36483	3230	1005
13/05/2016	2010	2000	2000	2000	3600000	3	22940	1093	1800	1000
16/05/2016	2000	2000	2000	2000	4226000	7	30845	1000	2113	1000
17/05/2016	2000	2050	2050	2000	22094050	14	38954	36520	10801	1025
18/05/2016	2050	2050	2050	2050	15241750	9	41970	33702	7435	1025
19/05/2016	2050	2040	2050	2040	38361300	7	8440	28462	18770	1020
20/05/2016	2040	2040	0	0	0	0	8440	1582	0	1020
23/05/2016	2040	2050	2060	2040	5565450	8	11620	602	2710	1025
24/05/2016	2050	2060	2060	2050	109960800	10	32620	27910	53380	1030
25/05/2016	2060	2050	2060	2050	1792718800	19	0	30560	874486	1025
26/05/2016	2050	2050	2050	2050	311163350	16	0	27910	151787	1025
27/05/2016	2050	2050	0	0	0	0	5000	19310	0	1025
30/05/2016	2050	1980	2000	1900	22620000	12	8100	37810	11410	990
