Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
22/10/2014	5060	5060	5060	5060	19835200	7	0	193820	3920	182.16
23/10/2014	5060	5060	5060	5060	2325156020	4	0	570	459517	182.16
24/10/2014	5060	5060	5060	5060	607200	5	0	450	120	182.16
27/10/2014	0	5060	0	0	0	0	0	450	0	182.16
28/10/2014	5060	5060	5060	5060	2277000	1	390	0	450	182.16
29/10/2014	0	0	0	0	0	0	770	0	0	182.16
30/10/2014	5060	5060	5060	5060	43769000	11	0	18090	8650	182.16
31/10/2014	5060	5060	5060	5060	90093300	11	0	21000	17805	182.16
03/11/2014	5060	5060	5060	5060	2934800	2	0	20862	580	182.16
04/11/2014	5030	5060	5000	5060	5027880	9	850	24070	1000	181.08
05/11/2014	5010	5050	4980	5050	32207800	9	360	19920	6435	180.36
06/11/2014	5050	5050	5000	5050	1968000	3	0	21170	390	181.8
07/11/2014	5000	5000	5000	5000	4400000	5	0	1180	880	180
10/11/2014	5050	5050	5050	5050	101000	4	0	1160	20	181.8
11/11/2014	5060	5060	5050	5060	7285800	4	0	100	1440	182.16
12/11/2014	5040	5060	5000	5060	7295000	3	0	0	1447	181.44
13/11/2014	0	0	0	0	0	0	3980	100	0	181.44
14/11/2014	5000	5000	5000	5000	500000	1	2887	0	100	180
17/11/2014	5000	5000	5000	5000	500000	1	2785	0	100	180
18/11/2014	5000	5000	5000	5000	4400000	2	1905	0	880	180
19/11/2014	5080	5100	5050	5100	4270200	3	3965	19700	840	182.88
20/11/2014	5080	5080	5080	5080	2540000	1	1955	19700	500	182.88
21/11/2014	5090	5090	5080	5090	8231040	7	1120	20420	1618	183.24
24/11/2014	5080	5080	5080	5080	5689600	3	1000	22300	1120	182.88
25/11/2014	5000	5080	5000	5080	2316020	7	590	22291	463	180
26/11/2014	0	0	0	0	0	0	590	0	0	180
27/11/2014	5000	5060	5000		2151800	2	160	70	430	180
28/11/2014	5000	0	0	0	0	0	0	70	0	180
01/12/2014	5070	5100	5000	5100	3314600	6	3	19810	654	182.52
02/12/2014	5100	5100	5100	5100	5100	1	2	19810	1	183.6
03/11/2014	5100	5100	5100	5100	10200	1	0	20255	2	183.6
04/12/2014	5000	5000	5000		5770000	6	0	21208	1154	180
05/12/2014	5000	5000	5000	5000	65000	3	0	21195	13	180
08/12/2014	5000	5000	5000	5000	7325000	4	1900	19995	1465	180
10/12/2014	5100	5100	5100	5100	25500	2	1900	0	5	183.6
11/11/2014	5100	5100	5100	5100	7650000	1	1900	18020	1500	183.6
12/12/2014	5100	5100	5100	5100	11628000	3	0	18340	2280	183.6
15/12/2014	5100	5100	5100	5100	204000	1	0	18740	40	183.6
16/12/2014	4980	4980	4980	4980	2988000	1	0	19590	600	179.28
17/12/2014	4980	0	0	0	0	0	0	19590	0	179.28
18/12/2014	5000	5000	5000	5000	16450000	3	3710	600	3290	180
19/12/2014	5000	5000	5000	5000	3200000	4	5030	0	640	180
22/12/2014	5000	5000	5000	5000	8900000	1	3250	15700	1780	180
23/12/2014	5000	5000	5000	5000	1235000	5	3010	15700	247	180
24/12/2014	5000	0	0	0	0	0	3010	15700	0	180
29/12/2014	5100	5100	5100	5100	255000	1	0	15650	50	183.6
30/12/2014	5100	5100	5100		14586000	3	0	0	2860	183.6
31/12/2014	5010	5100	5000	5100	44465000	5	2280	11740	8870	180.36
05/01/2015	5100	5100	0	0	0	0	2280	11700	0	183.6
06/01/2015	5100	5000	5100	5000	2402000	4	0	11680	480	180
07/01/2015	5000	5000	0	0	0	0	0	5310	0	180
08/01/2015	5000	5000	5000	5000	2200000	1	5360	18980	440	180
09/01/2015	5000	5010	5050	5000	3005000	3	5710	18580	600	180.36
13/01/2015	5010	5020	5050	5000	15012500	4	4030	16670	2990	180.72
14/01/2015	5020	5070	5100	5000	7355000	5	6630	11670	1450	182.52
15/01/2015	5070	5100	5100	5000	20399000	5	3930	0	4000	183.6
16/01/2015	5100	5100	5100	5100	20145000	1	5020	6	3950	183.6
19/01/2015	5100	5100	5100	5100	39193500	7	4430	1	7685	183.6
20/01/2015	5100	5100	5100	5100	2259300	3	4770	0	443	183.6
21/01/2015	5100	5100	0	0	0	0	7270	9740	0	183.6
22/01/2015	5100	5240	5300	5200	106884000	9	4150	7	20390	188.64
23/01/2015	5240	5200	5200	5200	3640000	5	2890	7	700	187.2
26/01/2015	5200	5200	5250	5200	14649100	11	8063	1184	2802	187.2
27/01/2015	5200	5260	5300	5200	11619560	16	10070	0	2211	189.36
28/01/2015	5260	5240	5240	5200	2316000	3	11450	442	442	188.64
29/01/2015	5240	5240	0	0	0	0	10650	442	0	188.64
30/01/2015	5240	5240	0	0	0	0	9100	0	0	188.64
02/02/2015	5240	5280	5300	5250	7610000	2	9060	2	1440	190.08
03/02/2015	5280	5250	5280	5240	7248400	8	15770	6	1380	189
04/02/2015	5250	5260	5260	5240	5154700	7	15779	0	980	189.36
05/02/2015	5260	5260	5260	5260	2367000	2	16329	0	450	189.36
06/02/2015	5260	5270	5280	5260	20505940	22	4423	7	3892	189.72
09/02/2015	5270	5280	5280	5250	6919750	14	17931	0	1311	190.08
10/02/2015	5280	5280	5280	5250	2360130	3	18730	5	447	190.08
11/02/2015	5280	5300	5300	5280	2411400	3	18780	0	455	190.8
12/01/2015	5300	5300	5310	5300	2332400	3	19420	1	440	190.8
13/01/2015	5300	5300	0	0	0	0	6170	1	0	190.8
16/02/2015	5300	5320	5320	5300	2383340	4	23500	0	448	191.52
17/02/2015	5320	5320	5320	5320	2351440	2	25177	0	442	191.52
18/02/2015	5320	5320	0	0	0	0	25487	0	0	191.52
19/02/2015	5320	5320	5330	5320	23353840	15	17920	2	4387	191.52
20/02/2015	5320	5330	5330	5330	1012700	1	3770	0	190	191.88
23/02/2015	5330	5350	5350	5350	2407500	2	14500	1	450	192.6
24/02/2015	5350	5400	5400	5400	2376000	1	14450	1	440	194.4
25/02/2015	5400	5400	5400	5400	11340000	14	17320	9	2100	194.4
26/02/2015	5400	5400	5410	5400	21658400	8	13900	3	4010	194.4
27/02/2015	5400	5410	5410	5330	1449730	6	10730	720	268	194.76
02/03/2015	5410	5410	5410	5400	3906000	3	2062	0	722	194.76
03/03/2015	5410	5440	5450	5410	3481000	3	12420	0	640	195.84
04/03/2015	5440	5500	5500	5500	110000	1	12390	0	20	198
05/03/2015	5500	5760	5800	5510	16924400	2	15070	0	2940	207.36
06/03/2015	5440	5500	5500	5500	110000	1	12390	0	20	198
09/03/2015	5810	5810	0	0	0	0	19690	0	0	209.16
10/03/2015	5810	6440	6500	6100	32182000	6	8620	0	5000	231.84
11/03/2015	6440	6500	6500	6500	2860000	1	14270	1	440	234
12/03/2015	6500	6500	6500	6500	1950000	3	10410	1	300	234
13/03/2015	6500	6500	6510	6500	25858500	19	7080	0	3977	234
16/03/2015	6500	6500	0	0	0	0	8470	0	0	234
17/03/2015	6500	6510	6510	6500	1699000	4	8370	0	261	234.36
18/03/2015	6510	6560	6600	6520	6038640	5	2464	470	921	236.16
19/03/2015	6560	6590	6600	6580	5076600	4	2194	0	770	237.24
20/03/2015	6590	6600	6600	6580	29317160	3	1922	0	4442	237.6
23/03/2015	6600	6600	0	0	0	0	972	0	0	237.6
24/03/2015	6600	6600	6600	6600	2712600	8	215	440	411	237.6
25/03/2015	6600	6600	6600	6600	283800	2	2070	11192	43	237.6
26/03/2015	6600	6600	0	0	0	0	2070	11192	0	237.6
27/03/2015	6600	6600	6600	6600	6336000	4	0	10160	960	237.6
30/03/2015	6600	6600	6600	6600	2508000	3	2734	10227	380	237.6
31/03/2015	6600	6590	6600	6590	6253980	8	1810	10220	949	237.24
01/04/2015	6590	6550	6600	6200	12782700	8	900	3350	1952	235.8
02/04/2015	6550	6110	6200	6100	2626000	2	500	3362	430	219.96
08/04/2015	6110	6110	0	0	0	0	330	3362	0	219.96
09/04/2015	6110	6200	6200	6200	36096400	13	300	610	5822	223.2
10/04/2015	6200	6200	6200	6200	446400	5	300	540	72	223.2
13/04/2015	6200	6200	0	0	0	0	300	540	0	223.2
14/04/2015	6200	6190	6200	6100	1053000	4	305	410	170	222.84
15/04/2015	6190	5850	6100	5850	1873250	5	1005	410	320	210.6
16/04/2015	5850	6180	6200	6000	1730000	2	1105	0	280	222.48
17/04/2015	6180	6180	6180	6180	12360	1	3019	882	2	222.48
20/04/2015	6180	6180	0	0	0	0	14629	882	0	222.48
21/04/2015	6180	6000	6000	6000	11100000	11	13469	445	1850	216
22/04/2015	6000	5860	6100	5850	7145000	8	11264	26085	1220	210.96
23/04/2015	5860	5850	6000	5850	75242850	26	1000	25642	12862	210.6
24/04/2015	5850	5500	5500	5500	2420000	1	560	25642	440	198
27/04/2015	5500	5500	5500	5500	13992000	6	15023	1433	2544	198
28/04/2015	5500	5500	5500	5500	7870500	3	13606	0	1431	198
29/04/2015	5500	5500	5500	5500	5230500	3	13055	0	951	198
30/04/2015	5500	5500	5500	5500	2480500	2	2414	0	451	198
04/05/2015	5500	5510	5510	5510	6612000	6	5614	11	1200	198.36
05/05/2015	5510	5510	5510	5510	2259100	4	14040	1	410	198.36
06/05/2015	5510	5510	5510	5510	936700	1	13870	1	170	198.36
07/05/2015	5510	5510	0	0	0	0	13490	1	0	198.36
08/05/2015	5510	5510	0	0	0	0	13490	1	0	198.36
11/05/2015	5510	5510	5510	5510	5510	1	12047	0	1	198.36
12/05/2015	5510	5510	5520	5510	5128700	3	2337	0	930	198.36
13/05/2015	5510	5520	5520	5510	7711370	5	4020	576	1397	198.72
14/05/2015	5520	5520	5520	5510	2517060	4	8721	570	456	198.72
15/05/2015	5520	5520	5520	5520	49680	3	8030	570	9	198.72
18/05/2015	5520	5540	5540	5530	2603500	4	8910	570	470	199.44
19/05/2015	5540	5540	0	0	0	0	10560	572	0	199.44
20/05/2015	5540	5540	0	0	0	0	9400	2	0	199.44
21/05/2015	5540	5600	5600	5540	5107080	3	9160	1	912	201.6
22/05/2015	5600	5600	0	0	0	0	12700	0	0	201.6
25/05/2015	5600	5600	0	0	0	0	19300	0	0	201.6
26/05/2015	5600	5600	0	0	0	0	17190	8	0	201.6
27/05/2015	5600	5660	5660	5600	16073100	8	15340	1	2840	203.76
28/05/2015	5660	5700	5700	5600	1196900	3	15220	0	210	205.2
29/05/2015	5700	5710	5710	5710	3408870	3	8330	450	597	205.56
01/06/2015	5710	5710	0	0	0	0	9320	17930	0	205.56
02/06/2015	5710	5830	5850	5810	10317300	7	21490	17480	1770	209.88
03/06/2015	5830	6000	6000	6000	960000	2	18185	17320	160	216
04/06/2015	6000	6010	6400	6010	5517960	6	29913	0	918	216.36
05/06/2015	6010	6050	6050	6020	7501700	11	21727	2	1240	217.8
08/06/2015	6050	6050	0	0	0	0	30737	102	0	217.8
09/06/2015	6050	6330	6500	6020	6703300	11	22523	2544	1059	227.88
10/06/2015	6330	6500	6500	6020	31008500	19	33870	2	4771	234
11/06/2015	6500	6520	6520	6520	5672400	3	25080	754	870	234.72
12/06/2015	6520	6520	0	0	0	0	20230	754	0	234.72
15/06/2015	6520	6530	6530	6500	2938470	3	33745	2500	450	235.08
16/06/2015	6530	6800	7000	6050	20080150	7	26472	740	2953	244.8
17/06/2015	6800	6800	0	0	0	0	26487	4210	0	244.8
18/06/2105	6800	7000	7000	7000	8337000	6	21161	3470	1191	252
19/06/2015	7000	7190	7200	7000	27052500	6	13949	0	3762	258.84
