Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
01/04/2015	15000	15000	15000	14500	5324485000	19	75407	1030	354979	4423.93
02/04/2015	15000	15000	0	0	0	0	75400	1030	0	4423.93
08/04/2015	15000	14850	15000	14500	5200000	9	0	1590	350	4379.69
09/04/2015	14850	14990	14990	14900	350761500	2	75850	31540	23400	4420.98
10/04/2015	14990	15000	15000	15000	7030575000	26	74250	770	468705	4423.93
13/04/2015	15000	14590	14600	14500	6565000	2	74200	19752	450	4303.01
14/04/2015	14590	14990	15000	14990	76299200	4	74200	26092	5090	4420.98
15/04/2015	14990	14670	15000	14500	5838080100	10	74630	26080	389232	4326.6
16/04/2015	14670	14980	14980	14500	6230208000	8	430	26000	415385	4418.03
17/04/2015	14980	14550	14980	14500	11618040	9	74040	1067320	798	4291.21
20/04/2015	14550	14200	14500	13500	4830000	7	0	1067080	340	4187.98
21/04/2015	14200	14200	0	0	0	0	0	1046240	0	4187.98
22/04/2015	14200	14710	14750	14000	5939945750	23	23129	1045610	402807	4338.4
23/04/2015	14710	14720	14750	14500	6882412500	17	10204	3880	472925	4341.35
24/04/2015	14720	14500	14500	14500	20300000	7	8814	6380	1400	4276.46
27/04/2015	14500	14500	14550	14500	88164100	9	2824	3980	6080	4276.46
28/04/2015	14500	14730	14750	14500	3749781500	14	2	4940	254272	4344.3
29/04/2015	14730	14500	14500	14000	5116764000	15	0	2051	352882	4276.46
30/04/2015	14500	14500	0	0	0	0	0	2021	0	4276.46
04/05/2015	14500	14500	0	0	0	0	0	2521	0	4276.46
05/05/2015	14500	14870	15000	14500	14697636000	19	0	45390	1012641	4385.59
06/05/2015	14870	14500	14500	14500	1160000	5	5	50525	80	4276.46
07/05/2015	14500	14500	14500	14500	4495000	4	12	52465	310	4276.46
08/05/2015	14500	14500	14500	14500	4890371500	12	0	52958	337267	4276.46
11/05/2015	14500	14500	14500	14500	4098729500	12	0	50818	282671	4276.46
12/05/2015	14500	14500	0	0	1692709400	1	0	5874	115939	4276.46
13/05/2015	14500	14500	14500	14500	98600000	12	8240	3009	6800	4276.46
14/05/2015	14500	14500	14500	14500	873770000	11	0	3009	60260	4276.46
15/05/2015	14500	14500	14500	14500	2086956000	19	0	1	143928	4276.46
18/05/2015	14500	14500	14500	14500	14501638500	6	300	50003	1000113	4276.46
19/05/2015	14500	14500	14500	14490	518254580	7	0	96711	35742	4276.46
20/05/2015	14500	14490	14500	14490	11595000	2	680	97111	800	4273.51
21/05/2015	14490	14500	14750	14400	45620070700	19	180	50008	3103086	4276.46
22/05/2015	14500	14500	14500	14500	5800000	1	180	50100	400	4276.46
25/05/2015	14500	14500	14500	14500	2856500	10	180	19040	197	4276.46
26/05/2015	14500	14480	14500	14400	8690000	2	80	10547	600	4270.56
27/05/2015	14480	14500	14500	14500	5606019000	4	0	15910	386622	4276.46
28/05/2015	14500	14500	14500	14400	4074400	14	0	16090	281	4276.46
29/05/2015	14500	14500	14500	14500	891170000	28	120	190	61460	4276.46
01/06/2015	14500	14500	14500	14500	19933278500	16	4830	10823	1328933	4276.46
02/06/2015	14500	14500	14500	14500	10163480000	8	80	10733	677740	4276.46
03/06/2015	14500	14500	14500	14500	19441338500	8	1370	8820	1296163	4276.46
04/06/2015	14500	14500	14510	14500	90268000	17	4080	8820	6224	4276.46
05/06/2015	14500	15000	15000	15000	10207500000	7	4330	8630	680500	4423.93
08/06/2015	15000	14500	14500	14500	1685790000	11	1122	3634	112503	4276.46
09/06/2015	14500	14500	14510	14500	29003000	4	1426	40004	2000	4276.46
10/06/2015	14500	14500	14510	14500	3432803900	17	10836	43634	236745	4276.46
11/06/2015	14500	14500	14500	14500	1124011000	10	11297	43634	77518	4276.46
12/06/2015	14500	14500	14500	14500	7380500	10	10788	63834	509	4276.46
