Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
05/09/2014	13720	13790	13800	13720	47727440	5	0	0	3462	4067.06
08/09/2014	13800	13800	13800	13800	27600000	2	0	0	2000	4070.01
09/09/2014	13810	14980	15020	13810	157738000	8	0	0	10530	4418.03
10/09/2014	15250	15980	16000	15250	115554500	16	0	0	7230	4712.96
11/09/2014	16000	16000	16000	16000	1200800000	2	0	0	75050	4718.86
12/09/2014	16100	16440	17000	16100	155362500	12	33970	1390	9450	4848.62
15/09/2014	16100	16030	16100	16000	1840560200	13	29649	1610	114820	4727.7
16/09/2014	16080	16000	16100	15250	294666480	14	1015	2500	18420	4718.86
17/09/2014	16000	16090	16100	16000	249699000	11	55	1390	15520	4745.4
18/09/2014	16100	16890	16890	16000	4161877800	18	1850	577	246350	4981.34
19/09/2014	15550	16020	16100	15550	108025250	15	4140	640	6742	4724.75
22/09/2014	16100	16100	16100	16100	8050000	1	3640	647	500	4748.35
23/09/2014	16100	16020	16100	16000	72569300	10	4190	1070	4530	4724.75
24/09/2014	16100	16100	16100	16100	31556000	6	9330	11677	1960	4748.35
25/09/2014	16100	16070	16100	16000	1281949000	14	1708	31677	80050	4739.5
26/09/2014	16100	16100	16100	16100	14490000	3	53990	30600	900	4748.35
29/09/2014	16200	16230	16500	16200	174796800	6	46146	20600	10770	4786.69
30/09/2014	16500	16960	17000	16500	395285500	14	20080	0	23311	5001.99
01/10/2014	17200	17250	17600	17200	141701500	10	14093	0	8215	5087.52
02/10/2014	17600	17600	17600	17600	4576000	5	14493	0	260	5190.74
03/10/2014	17700	17700	17700	17700	36639000	7	20200	0	2070	5220.23
06/10/2014	17700	17720	17800	17700	7343040000	7	23729	400	401300	5226.13
07/10/2014	18200	18020	18200	18000	235776000	16	13187	70	13085	5314.61
08/10/2014	18200	18550	19000	18200	194234000	6	5468	0	10470	5470.92
09/10/2014	18550	18130	18500	18000	65657000	8	2897	119810	3621	5347.05
10/10/2014	18130	18210	18500	18100	2320005000	11	2747	10000	123450	5370.65
13/10/2014	19000	18580	19000	18500	15439000	13	430457	50970	831	5479.77
15/10/2014	18100	18100	18100	18100	22625000	4	370	61945	1	5338.21
16/10/2014	18100	18330	18500	18100	63412000	9	427710	60565	3460	5406.04
17/10/2014	18330	18420	18500	18400	81627300	13	430320	21224	4431	5432.58
20/10/2014	18420	18470	18500	18300	"42.775,200"	15	428710	26340	2316	5447.33
21/10/2014	18470	17240	18300	16010	14656700	9	428340	35450	850	5084.57
22/10/2014	18000	18350	18390	18020	9764240	21	433340	17110	532	5411.94
23/10/2014	18350	18010	18390	18000	95643900	3	630	29850	5310	5311.66
24/10/2014	18010	17840	18400	17000	258827000	16	500	18820	14505	5261.52
27/10/2014	17000	17000	17000	17000	6630000	13	124230	29190	390	5013.78
28/10/2014	16270	17000	16010	17000	22126400	18	123750	24900	1360	4798.49
29/10/2014	16010	17000	16000	17000	3057758800	9	0	24800	191100	4721.8
30/10/2014	16930	17000	16000	17000	1724440000	40	0	10730	101840	4993.14
31/10/2014	16980	17000	16000	17000	518000000	9	0	126960	30500	5007.89
03/11/2014	16010	16100	16000	16100	16810000	4	4300	168060	1050	4721.8
04/11/2014	16000	16000	16000	16000	68400000	13	1000	229950	4275	4718.86
05/11/2014	16000	16100	16000	16100	322644500	11	3400	223880	20160	4718.86
06/11/2014	16000	16000	16000	16000	36480000	7	1120	223880	2280	4718.86
07/11/2014	16000	16000	16000	16000	11520000	18	1000	40250	720	4718.86
10/11/2014	15670	16000	15500	16000	28840000	7	0	96940	1840	4621.53
11/11/2014	16000	16000	16000	16000	18320000	14	3	72180	1145	4718.86
12/11/2014	15550	16000	15500	16000	22813500	13	0	84741	1467	4586.14
13/11/2014	15000	15000	15000	15000	13500000	4	0	97860	900	4423.93
14/11/2014	15500	15500	15500	15500	3007000	2	0	41940	194	4571.39
17/11/2014	15500	15500	15500	15500	155000	1	7000	41980	10	4571.39
18/11/2014	15000	15000	15000	15000	294060000	23	100	15650	19604	4423.93
19/11/2014	15000	15000	15000	15000	12150000	7	0	65610	810	4423.93
20/11/2014	15000	0	0	0	0	0	0	67830	0	4423.93
21/11/2014	14990	15000	14990	15000	6911500	9	0	13220	461	4420.98
24/11/2014	14990	0	0	0	0	0	0	63220	0	4420.98
25/11/2014	14500	14500	14500	14500	3633990000	5	0	47600	250620	4276.46
26/11/2014	14500	14500	14500	14500	61190000	8	1	88220	4220	4276.46
27/11/2014	14500	14500	14500		363080000	7	0	96580	25040	4276.46
28/11/2014	14490	14490	14490	14490	4347000	2	0	101280	300	4273.51
01/12/2014	14490	14490	14490	14490	10143000	2	410	64580	700	4273.51
02/12/2014	14000	14000	14000	14000	3630740000	2	0	29580	250410	4129
03/11/2014	14260	14300	14200	14300	1407985000	5	0	5800	100560	4205.68
04/12/2014	14000	14000	14000		30240000	10	0	63970	2160	4129
05/12/2014	14000	14000	14000	14000	602392000	22	1226	79510	43028	4129
08/12/2014	13500	13500	13500	13500	16470000	2	6	50000	1220	3981.53
10/12/2014	13500	13500	13500	13500	6750000	1	6	55780	500	3981.53
11/11/2014	13490	13500	13490	13500	894545000	4	106	53470	66310	3978.58
12/12/2014	13140	13500	13000	13500	72281000	16	310	38471	5501	3875.36
15/12/2014	13000	13000	13000	13000	17420000	4	163	87631	1340	3834.07
16/12/2014	13000	13000	12990	13000	539623100	14	5	244700	41510	3834.07
17/12/2014	13320	13490	13000	13490	3113930700	38	400	2500	232819	3928.45
18/12/2014	13000	13000	12990	13000	33789000	4	0	22000	2600	3834.07
19/12/2014	13000	13000	12990	13000	2244136800	32	5	19250	172626	3834.07
22/12/2014	13000	13000	12900	13000	2688189800	19	8	0	206816	3834.07
23/12/2014	13000	13000	12990	13000	847664950	8	487	0	65205	3834.07
24/12/2014	13000	13000	13000	13000	2620020000	11	487	0	201540	3834.07
29/12/2014	13010	13100	13000	13100	10925000	5	26739	0	840	3837.02
30/12/2014	13510	14000	13000		1406733800	22	2339	0	104150	3984.48
31/12/2014	14090	15000	13500	15000	1550000000	6	2409	0	110000	4155.54
05/01/2015	14090	14430	14500	13100	30310000	7	1120	69050	2100	4255.82
06/01/2015	14430	14450	14500	14000	13435000	6	2836	68220	930	4261.72
07/01/2015	14450	14480	14500	13200	1203640000	20	20801	50850	83100	4270.56
08/01/2015	14480	14490	14500	14000	3693457000	23	3708	50850	254866	4273.51
09/01/2015	14490	14500	14500	14500	1460005000	3	3765	850	100690	4276.46
13/01/2015	14500	14500	14500	14500	4383350000	6	2865	0	302300	4276.46
14/01/2015	14500	14500	14500	13210	1789338600	30	450	4	123408	4276.46
15/01/2015	14500	14500	14520	14500	1575939000	14	9900	0	108684	4276.46
16/01/2015	14500	14500	14520	14500	676578000	23	2214	0	46650	4276.46
19/01/2015	14500	14500	14500	14500	3190000	5	2627	0	220	4276.46
20/01/2015	14500	14500	14520	14500	27216640	6	2728	0	1877	4276.46
21/01/2015	14500	14480	14500	13200	810856200	9	2106	25290	55992	4270.56
22/01/2015	14480	14500	14500	14500	2769500	11	850	25100	191	4276.46
