Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
43244	3520	3520	0	0	0	0	0	0	0	126.72
43245	3520	3520	0	0	0	0	0	920	0	126.72
43248	3520	3520	0	0	0	0	0	920	0	126.72
43249	3520	3520	0	0	0	0	0	1120	0	126.72
43250	3520	3500	3500	3500	422835000	3	0	1122	120810	126
43251	3500	3500	3460	3460	3183200	1	1080	202	920	126
43252	3500	3500	0	0	0	0	1080	202	0	126
43255	3500	3500	3460	3460	3460000	1	80	202	1000	126
43256	3500	3500	0	0	0	0	80	2	0	126
43257	3500	3500	3460	3460	276800	1	0	322	80	126
43258	3500	3500	3460	3460	346000	1	0	220	100	126
43259	3500	3500	0	0	0	0	0	220	0	126
43262	3500	3500	0	0	0	0	864	660	0	126
43263	3500	3500	3400	3400	2114800	5	242	440	622	126
43264	3500	3500	3500	3480	316881200	2	9702	0	90540	126
43265	3500	3500	3400	3400	822800	2	0	501	242	126
43269	3500	3500	3400	3400	1883600	8	5410	0	554	126
43270	3500	3500	3400	3400	68000	1	5390	2	20	126
43271	3500	3500	3400	3400	74800	2	5383	0	22	126
