Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
13/06/2016	355	355	365	355	886450	10	2450	1168710	2490	927.2
14/06/2016	355	350	350	350	5848500	2	10	469562	16710	914.14
15/06/2014	350	345	350	320	4882300	12	52	541827	14120	901.08
16/06/2016	345	340	355	320	955306450	49	344	744796	2695730	888.03
17/06/2016	340	350	350	340	939500	8	3308	2738803	2690	914.14
20/06/2016	350	320	355	320	1141225	19	0	2968008	3543	835.79
21/06/2016	320	320	345	320	16208530	18	0	2922630	50639	835.79
23/06/2016	320	320	320	320	12457600	6	5000	1226108	38930	835.79
24/06/2016	320	320	320	320	1264320	31	5000	2214733	3951	835.79
27/06/2016	320	320	320	320	4304000	12	5000	2311405	13450	835.79
28/06/2016	320	310	310	310	12722400	10	6	2249675	41040	809.67
29/06/2016	310	310	310	290	34428860	17	10000	660666	111706	809.67
30/06/2016	310	310	310	310	1077511640	48	11534	2385325	3475844	809.67
01/07/2016	310	300	310	300	10171990	18	10006	3060245	33847	783.55
04/07/2016	300	300	300	300	2770500	25	0	3387706	9235	783.55
05/07/2016	300	295	300	295	3169000	3	505	3111308	10730	770.49
08/07/2016	295	300	300	290	255588995	43	16934	955938	852077	783.55
11/07/2016	300	295	300	290	207308640	39	25645	1670493	702775	770.49
12/07/2016	295	290	295	290	1498500	11	10005	1767657	5150	757.43
13/07/2016	290	285	295	270	77482585	36	86820	1437865	269985	744.37
14/07/2016	285	290	290	285	267436200	31	259870	1397738	922280	757.43
15/07/2016	290	290	295	290	5020550	7	319850	50148	17295	757.43
18/07/2016	290	290	300	290	90966100	38	111470	89377	312370	757.43
19/07/2016	290	290	290	290	24248060	31	118122	221690	83614	757.43
20/07/2016	290	290	310	290	143324720	14	66667	8764	493866	757.43
21/07/2016	290	290	295	290	66407000	19	140781	23310	227295	757.43
22/07/2016	290	300	300	300	2604000	4	539431	18315	8680	783.55
25/07/2016	300	300	300	295	32719810	40	123348	276935	109208	783.55
26/07/2016	300	295	300	295	25498800	11	200760	120000	86322	770.49
27/07/2016	295	295	300	295	83394225	37	144065	131996	282595	770.49
28/07/2016	295	295	300	295	40165650	13	277600	126994	136070	770.49
29/07/2016	295	295	300	295	44296895	12	0	0	149151	770.49
01/08/2016	295	295	300	295	124389180	152	127686	774354	421658	770.49
02/08/2016	295	295	295	290	73285830	39	102825	561920	248774	770.49
03/08/2016	295	290	290	290	5739100	9	10515	557160	19790	757.43
04/08/2016	290	290	290	290	10219600	12	113520	637160	35240	757.43
05/08/2016	290	295	295	290	179905230	22	229544	110	610404	770.49
09/08/2016	295	295	300	295	5454535	6	258371	57924	18473	770.49
10/08/2016	295	295	295	295	50536450	14	356327	63140	171310	770.49
11/08/2016	295	295	295	295	83828675	15	406447	63140	284165	770.49
12/08/2016	295	295	300	295	49432095	14	25790	5224	167511	770.49
15/08/2016	295	295	300	295	13682055	34	169736	61060	47079	770.49
16/08/2016	295	295	295	295	50502820	64	5510	8075	171196	770.49
17/08/2016	295	295	295	295	96603355	12	0	0	327469	770.49
18/08/2016	295	295	300	290	26421405	21	142192	2160	89372	770.49
19/08/2016	295	295	300	295	141762625	30	7	51580	479985	770.49
22/08/2016	295	295	300	295	46820000	18	102189	416310	158340	770.49
23/07/2016	295	295	295	295	1451400	6	101014	461390	4920	770.49
24/08/2016	295	295	295	295	48555820	24	179814	515322	164596	770.49
25/08/2016	295	295	295	295	60532525	15	112012	779742	205195	770.49
26/08/2016	295	295	295	290	3542045	13	10000	306756	12041	770.49
29/08/2016	295	290	295	280	3411650	6	109270	875886	11760	757.43
30/08/2016	290	290	290	280	2110050	10	100000	790891	7330	757.43
31/08/2016	290	290	280	270	5285700	12	96850	487559	18990	757.43
01/09/2016	290	290	280	280	7171920	6	96850	501265	25614	757.43
02/09/2016	290	290	280	270	38961400	29	24836	509470	143950	757.43
05/09/2016	290	290	275	270	11539170	21	42736	754841	42386	757.43
06/09/2016	290	290	275	270	11539170	21	103666	831243	42386	757.43
07/09/2016	290	290	275	270	11539170	21	72390	434544	42386	757.43
08/09/2016	290	290	275	270	4410670	16	72090	434287	16331	757.43
09/09/2016	290	290	275	270	16714830	18	87360	94910	61394	757.43
13/09/2016	290	290	270	260	11655600	15	20000	141620	43250	757.43
14/09/2016	290	290	270	260	12900000	16	74370	92330	48500	757.43
15/09/2016	290	290	260	250	13850260	12	23662	204900	55389	757.43
16/09/2016	290	290	250	250	9650000	27	0	303580	38600	757.43
19/09/2016	290	290	260	250	2502600	2	1990	312880	10010	757.43
20/09/2016	290	275	280	250	539181400	36	50005	9760	1953530	718.26
21/09/2016	275	280	280	250	426252750	18	100144	90623	1526819	731.31
22/09/2016	280	280	270	270	3769200	9	91390	77853	13960	731.31
23/09/2016	280	280	250	250	500	1	75695	77853	2	731.31
26/09/2016	280	280	270	250	19079250	17	69560	438630	73455	731.31
27/09/2016	280	280	260	250	25116060	14	108068	468230	98761	731.31
28/09/2016	280	280	260	250	24768520	21	138140	479358	98802	731.31
29/09/2016	280	250	270	250	130042630	30	172172	311575	497548	652.96
30/09/2016	250	250	260	250	3409300	3	169082	319880	13270	666.02
03/10/2016	250	250	250	250	78063250	16	267481	8310	312253	652.96
04/10/2016	250	250	280	250	40197110	17	132466	96993	158852	652.96
05/10/2016	250	250	260	250	18629500	10	562720	166343	74075	652.96
06/10/2016	250	250	260	250	39870940	23	450019	164963	159394	652.96
07/10/2016	250	250	260	250	1419649030	22	1076777	31240	5673152	652.96
10/10/2016	250	250	250	250	150000	1	1114258	60040	600	652.96
11/10/2016	250	250	260	250	4316800	10	1104820	81483	17020	652.96
12/10/2016	250	250	260	250	35000600	8	1114820	165841	139998	652.96
13 0ct 16	250	250	255	250	31609200	17	1035020	67931	125810	652.96
16/10/2016	250	250	250	250	2233227500	28	0	65360	8932910	652.96
18/10/2016	250	250	250	240	4916750	15	83590	57900	20105	652.96
19/10/2016	250	250	250	240	3534750	23	86660	235479	14395	652.96
20/10/2016	250	250	250	250	300000	3	86660	383339	1200	652.96
21/10/2016	250	250	250	250	103274250	39	77190	55042	413097	652.96
24/10/2016	250	250	250	240	80239460	20	88810	96844	321647	652.96
25 0ct 16	250	250	250	250	5717250	19	25010	183300	22869	652.96
26/10/2016	250	250	250	250	2113500	9	102160	259013	8454	652.96
27/10/2016	250	250	250	245	12261475	11	101800	212279	49085	652.96
28/10/2016	250	250	240	230	11426000	28	10000	244637	48025	652.96
29/10/2016	250	250	240	230	2348000	2	820	569757	10200	652.96
01/11/2016	250	250	230	230	486450	6	0	508252	2115	652.96
02/11/2016	250	250	230	230	4126200	17	7	455499	17940	652.96
03/11/2016	250	250	230	230	1150	1	2	830268	5	652.96
04/11/2016	250	250	230	230	460	2	0	878085	2	652.96
07/11/2016	250	250	230	225	29311750	8	2	627405	128550	652.96
08/11/2016	250	250	225	225	31266000	17	2	537730	138960	652.96
09/11/2016	250	250	225	225	2568945200	20	20000	618903	10292024	652.96
10/11/2016	250	250	225	225	391500	5	20000	252203	1740	652.96
11/11/2016	250	250	225	220	293150	14	22097	244200	1303	652.96
14/11/2016	250	250	225	215	2769850	8	13193	438060	12684	652.96
15/11/2016	250	250	220	215	55534530	22	0	279320	258282	652.96
16/11/2016	250	250	225	215	430050	5	1	603320	2000	652.96
17/11/2016	250	250	225	215	833135	4	0	574940	3875	652.96
18/11/2016	250	250	215	215	1702800	5	0	532045	7920	652.96
21/11/2016	250	250	215	215	227900	3	0	619802	1060	652.96
22/11/2016	250	250	215	215	262300	2	0	615432	1220	652.96
23/11/2016	250	250	215	215	3440	2	0	310220	16	652.96
24/11/2016	250	250	215	215	242090	6	0	726702	1126	652.96
25/11/2016	250	250	215	215	2182465	14	1	996966	10151	652.96
27/11/2016	250	250	215	215	427850	3	6	979306	1990	652.96
29/11/2016	250	250	215	215	35811690	11	0	898783	166566	652.96
30/11/2016	250	250	215	210	1727525	12	0	709950	8035	652.96
